"CONTRATO","PNCP_PROCESSO","EMPRESA","Processo do pagamento","É ATA?","POSSUI ADITIVO?","TIPO DE ADITIVO","VIGÊNCIA","VALOR DO CONTRATO","VALOR LIQUIDADO","SALDO"
"008/2025","05065644000181-1-000001/2025","RA CONSULTORIA, RESPONSABILIDADE & SUSTENTABILIDADE SOCIAL LTDA","PROCESSO N 6383/2025-FUNPAPA","Não","Não","-","24/06/2025 a 24/11/2025","140000","0","140000"
"009","05055033000152-1-000010/2025","FRANCISCA CELIA GONCALVES DE MELLO","18004-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","90771.84","0","90771.84"
"009","05055033000152-1-000037/2025","DAFMC  SOLUCOES, COMERCIO E SERVICOS LTDA","3634-2025-SEMEC","Não","Não","-","01/04/2025 a 30/03/2026","100000000","0","100000000"
"009","49159407000155-1-000002/2026","CADENZZA LTDA","232/2024","Não","Não","-","05/03/2026 a 30/06/2026","3929","0","3929"
"01","59870569000150-1-000001/2025","F M SERVICO E COMERCIO LTDA","159/2025","Não","Não","-","18/07/2025 a 18/08/2025","15000","0","15000"
"01","59870569000150-1-000001/2026","CINTIA SILVA DA COSTA","387/2025-SEMU","Não","Não","-","03/02/2026 a 03/02/2027","6000","0","6000"
"010","05055033000152-1-000026/2025","PAVIANI & RIBEIRO LTDA","17562-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","448014","0","448014"
"010","05055033000152-1-000035/2025","EBN COMERCIO, IMPORTACAO E EXPORTACAO LTDA","3471-2025-SEMEC","Não","Não","-","28/03/2025 a 27/03/2026","5196494.24","0","5196494.24"
"011","05055033000152-1-000039/2025","W. O.DO NASCIMENTO LTDA","3206-2025-SEMEC","Não","Não","-","01/04/2025 a 30/03/2026","967440","0","967440"
"012","05055033000152-1-000038/2025","ELOS ORIENTACAO E PLANEJAMENTO EDUCACIONAL LTDA","3636-2025-SEMEC","Não","Não","-","02/04/2025 a 01/04/2026","1417225.31","0","1417225.31"
"013","05055009000113-1-000016/2025","LOCDESK LOCACAO DE EQUIPAMENTOS E SOLUCOES EM INFORMATICA LTDA","638/2025","Sim","Não","-","22/12/2025 a 22/12/2026","277397.16","0","277397.16"
"013","05055033000152-1-000008/2025","ZILMA MARGARETH DA SILVA SOUSA","17947-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","284593.44","0","284593.44"
